#0
fun, crew, great, lot, place, people, get, go, fuck, little, friendly, pretty, want, amazing, thing, couple, wait, surface, work, day, way, hour, try, know, need, right, busy, especially, ask, good, come, service, have, night, sit, like, food, fluffiness, review, parties, stop, high, free, carelessness, location, add, meal, new, customer, buy, area, tuesday, guy, road, money, saturday, flour, maybe, door, save, chicken, vegas, screw, live, star, beef, lucky, tequila, group, wish, flat, important, major, extra, fajitas, limo, chip, atmosphere, help, yesterday, half, today, friday, ride, taco, street, stand, correct, entrance, easy, husband, phone, lazy, nachos, bachelor, birthday, tire, hire, best, strip

#616
fresh, food, good, squeeze, definitely, cheer, time, service, accordingly, nice, come, little, bad, price, kebab, place, try, enjoy, need, finally, order, look, go, decent, get, actually, mixologist, wait, walk, experience, retrospect, supplier, uninspiring, aimlessly, bit, want, table, asahi, greggs, think, away, ask, meal, hear, bring, drink, perfect, close, taste, seat, quick, bar, recommend, mix, decor, minute, like, cool, yelp, juice, open, use, group, girl, mojito, lack, clean, free, star, read, town, highly, counter, server, fun, pay, help, cocktail, lot, menu, condiment, know, waitstaff, pick, offer, love, fine, reasonable, space, review, feel, uninspired, door, friendly, plum, plain, matter, effort, great, peach

#617
area, sized, traffic, energy, clean, couple, people, pretty, definitely, work, need, friendly, ft, like, right, day, time, see, pallet, get, price, restaurant, mean, sure, bad, start, end, give, sit, come, murphy, friend, place, go, home, drink, love, eat, take, good, serve, let, high, bar, review, huge, location, have, meal, leave, include, plus, night, figure, sweet, happy, new, tasty, town, appreciation, star, happen, yelp, cheese, surprise, return, pleased, short, awesome, unlike, personal, vodka, house, taste, read, lime, cocktail, family, book, food, vibe, splash, tell, set, rest, fact, minute, fun, great, absolutely, flavor, sauce, order, avoid, tip, presentation, room, ask, easy, rock

#618
strip, casino, place, walk, slot, cater, want, pretty, clean, definitely, people, get, sure, away, see, bikini, love, vegas, table, stay, come, great, start, sit, area, money, play, sleep, comfortable, gambling, modern, cheap, pool, early, las, group, crowd, happy, chair, music, luck, variety, summer, quiet, loose, lively, pick, relatively, smile, carlo, woman, monte, mention, lair, fulkerson, jeremy, incompetent, agent, clobber, definalty, teaspresso, taramisu, aand, fatouche, setiing, corodisone, whaaaaa, cescon, bates, trival, soufflet, pocketsizedelle, asymmetry, schrewd, correlation, aquired, dippa, picka, depthness, hamdulila, mumus, taisting, unpredictability, spadoni, laing, magnifier, ramma, brandie, dissappered, staffers, kalologie, gua, clubber, pannini, eq, basalmic, mazatlan, loveeeeeee, optimize, narai

#619
cruise, incompetent, tommy, cubano, congratulation, bahama, yountville, enjoy, bahamas, lair, drink, call, great, meal, want, good, large, add, restaurant, take, come, get, start, time, experience, tell, away, plan, food, deal, fulkerson, serve, think, know, stay, size, new, low, order, try, way, give, jeremy, write, complex, selection, live, day, bar, green, year, quality, sit, hotel, spend, star, taste, today, review, people, special, room, agent, eat, atmosphere, brand, say, occasion, staff, bad, salt, godzilla, nice, minute, service, car, home, like, shop, representative, sure, understand, fries, usually, middle, upstairs, traditional, duck, case, salad, flavor, casino, husband, table, area, heavy, warm, wo, light, parking

#620
entire, laugh, confusing, see, dumb, tim, time, tell, premise, karate, walk, partially, people, couple, projector, want, go, say, sit, distracting, ballroom, let, little, give, good, take, meaningful, grammar, ask, way, work, ty, like, lot, drink, nice, hear, malarkey, small, get, food, high, restaurant, turn, herringbone, night, hard, black, use, love, guy, plus, stand, entertaining, greet, head, friendly, section, service, spot, note, large, morning, plate, salad, genius, cool, room, need, thing, absolutely, delicious, beautiful, list, eat, bite, menu, instead, look, friend, taste, near, damn, noise, long, hot, follow, girl, point, sign, kitchen, fellow, table, fabulous, quality, mail, moment, cocktail, rip, door

#621
chinese, food, japanese, place, good, think, try, great, service, want, like, bit, lot, hooked, decent, year, clean, love, enjoy, people, little, big, way, menu, sure, expect, actually, staff, probably, long, say, week, finally, grandeur, far, opulence, wait, pay, bring, beef, inside, family, area, old, quick, plus, vegas, wish, east, style, learn, atmosphere, cook, base, real, star, dining, college, general, suit, begin, chance, ago, locate, half, world, lo, normal, miss, despite, avoid, simple, din, bite, interesting, prompt, let, be, step, panda, steakhouse, tao, charlotte, homemade, main, blue, hang, hint, charming, cheese, weigh, school, gem, believe, welcome, den, salad, availability, venue, rough

#622
tasting, overpower, menu, restaurant, ramsay, good, try, enjoy, food, panna, cotta, want, favorite, alexander, indecisive, experience, brainer, service, end, amazing, different, great, thing, autograph, dinner, time, eat, little, think, delicious, order, like, get, expect, definitely, suited, start, stop, encompass, feel, way, decide, can, meal, finally, table, need, taste, place, pretty, come, ask, huge, bad, booooo, especially, look, go, right, sit, wait, have, nice, let, probably, home, sure, recommend, dessert, night, course, day, hear, fan, away, light, say, decent, plus, better, large, flavor, plan, head, bar, town, choice, chef, house, sauce, fill, tasty, hubby, dish, maybe, visit, see, plate, trip, inside

#623
crowd, avoid, staple, busy, seek, place, like, ed, pretty, fixing, worth, enjoy, functional, visit, food, little, good, restaurant, want, get, nice, love, definitely, work, take, thing, close, say, recommend, day, add, location, perfect, area, fresh, great, cool, family, morning, mediterranean, option, extremely, healthy, awesome, need, hit, downtown, inspire, management, recently, room, drive, clearly, spring, movie, item, exactly, kitchen, fully, stocked, guy, breakfast, friend, pj, stand, excellent, site, outdoor, colleague, boy, dog, surround, dining, temperature, comfy, property, phoenix, soripan, hotdog, argentine, supperdogger, traffic, complex, speak, renovate, training, furnishing, suite, courtyard, redone, playground, equip, congested, cute, pool, grab, bakery, regret, own, balkan

#624
stair, tequila, deck, tostada, peaceful, cereal, arnold, nutty, pampered, parade, nice, feel, like, delicious, actually, friendly, amazing, cheesey, love, enjoy, besties, good, place, time, right, sugared, long, go, can, great, thing, service, food, think, restaurant, perfect, clean, head, taste, overall, customer, offer, sweet, awesome, delosantos, sauce, new, sit, close, shot, happy, come, tasty, serve, area, visit, order, green, cheese, bean, beautiful, juice, yummy, coffee, decor, tamale, margarita, flavor, pack, attentive, recommend, highly, locate, say, list, wo, regular, outdoor, crisp, seriously, cheap, extra, blend, chicken, marry, almond, syrup, truly, family, ton, single, smoothie, cookie, buck, remember, fresh, chocolate, forget, wow, crave

#625
similar, edge, goody, authenticity, lot, price, give, think, place, grid, soften, make, try, pretty, bad, fresh, good, quality, come, like, far, order, amazing, delicious, high, fan, taste, light, add, away, cheese, hot, menu, yelp, cheap, chewy, dessert, sauce, perfect, love, salad, meal, pizza, plenty, tasting, enjoy, dinner, banana, crust, can, time, excellent, potato, know, entree, large, strip, wo, line, special, middle, chicken, go, comfortable, move, service, worth, stop, let, restaurant, nutella, onion, run, margherita, option, start, bit, detect, dry, sliver, bread, close, kind, get, low, star, leave, beautiful, slice, breakfast, prepared, great, toast, table, bean, charlotte, regular, liver, serve, carrot

#626
pho, king, good, place, assistance, come, service, crouton, like, eat, great, definitely, time, little, big, want, thing, go, love, friend, aficionado, order, give, get, know, expect, staff, amazing, enjoy, nice, need, lot, try, recommend, favorite, friendly, customer, way, end, bowl, take, bring, day, wait, think, ask, people, panzanella, use, bisquits, new, yes, look, right, bar, highly, special, entire, review, spicy, surprise, super, work, available, chicken, store, put, twice, egg, price, flavor, discover, date, hate, see, unique, occasion, sure, setting, probably, hat, party, grill, kitchen, apart, bbq, sue, later, okay, sauce, drink, grit, short, wrong, family, self, pork, wife, detail, cheese

#627
tot, tater, disgust, sandwhich, smear, krazy, good, try, like, place, tots, pow, get, ick, love, great, food, end, order, cheese, go, time, amazing, want, make, day, service, taste, pretty, think, stop, hour, sweet, sit, grill, dinner, work, right, better, sauce, friendly, breakfast, high, second, return, eat, flavor, leave, hard, small, enjoy, visit, little, price, waitress, roll, hardly, look, simple, know, experience, take, area, cold, center, pepper, check, bar, hand, vegas, house, bring, remove, swear, wait, yummy, nice, pool, spot, lunch, toast, care, run, people, complaint, slice, door, absolutely, las, yuck, hungry, request, seat, suffer, new, feel, quality, table, star, butter

#628
baja, penn, approx, mamma, yield, unappealing, pilgrimage, backing, sail, spatzle, hofbrau, enjoy, resting, good, lot, hour, come, big, tasty, sit, bit, experience, love, have, pretty, thing, start, time, dessert, night, cool, huge, awesome, fresh, try, style, place, order, table, food, expect, highlight, definitely, server, get, think, excellent, fry, way, little, price, large, mexican, service, seat, right, serve, plate, like, mia, great, spicy, bad, outside, carefree, traffic, old, sauce, heavy, dinner, see, chewy, happy, pizza, day, butter, high, bring, location, free, cafe, fact, delicious, favorite, nice, meet, cheap, chicken, better, company, locate, go, let, man, friendly, pleasant, drink, consider, close, add

#629
mistake, earth, certificate, big, bad, go, want, let, year, call, customer, give, tell, hour, thing, know, clean, visit, busy, try, make, can, good, time, order, dines, pretty, need, see, home, service, look, serve, definitely, stop, little, get, small, run, love, think, price, enjoy, close, bring, food, dinner, far, day, spend, happy, place, great, buy, people, walk, ask, night, star, sized, overall, mind, spot, street, case, old, plenty, game, fit, aware, local, hotel, table, drink, reason, line, paint, quickly, swear, awesome, tower, check, disappointed, practice, area, near, fresh, slow, pm, meet, nice, discount, ga, recommend, freshly, employee, fremont, medical, remotely, ahead

#630
store, like, look, fashion, price, vintage, boutique, think, merchandise, open, end, feel, can, hunger, right, favorite, ask, actually, cottage, great, attic, bad, decorating, gypsy, say, good, have, leave, far, entrepreneur, new, peruse, free, town, inside, time, help, vegas, job, sense, style, room, guy, question, rack, item, owner, country, plenty, las, use, fabulous, understand, retro, step, case, okay, inspire, live, recent, word, den, try, satisfy, display, fantastic, tip, snobbery, craving, fare, recommend, internet, charge, come, money, offer, confirm, fair, take, driver, go, service, wait, people, decor, prefer, honest, drink, steal, stephen, strip, reservation, request, phone, woman, order, bar, rout, food, cheese

#631
sorry, reviewer, upscale, receptionist, waxing, think, feel, experience, nice, come, get, end, sure, like, need, try, clean, lot, time, different, take, finally, home, work, great, have, bring, use, friendly, service, kind, wait, miss, good, place, vegas, forget, door, wax, guess, odd, stay, technician, worth, hair, california, dessert, seriously, taste, soon, sale, busy, salon, stray, soul, food, delicious, pure, toast, key, amazing, favorite, steak, country, tactic, yummy, art, rose, macaron, lime, ahhhh, curse, ecstasy, fried, tart, thing, totally, chicken, menu, fresh, juice, chilaquiles, press, waffles, consistently, banana, french, breakfast, carle, magnifier, aquired, nicolette, advisability, setiing, loveeeeeee, taisting, foodborne, whaaaaa, depthness, pocketsizedelle

#632
cash, pay, atm, drawback, deluxe, monitor, professionally, purely, sweetie, place, time, ought, day, look, right, sure, want, bad, paraffin, clean, biweekly, need, bit, come, good, experience, lot, little, big, get, try, open, exfoliation, check, service, thing, like, close, staff, customer, choose, hour, review, use, hot, quality, decent, restaurant, give, star, high, cool, chair, food, great, later, pedi, line, towel, hop, set, worth, fool, room, parking, nail, chunk, business, massage, guy, swear, standard, yelp, shape, situation, yes, lose, pick, train, terrible, drive, limited, building, wax, floor, candy, realize, town, honestly, bother, website, plastic, book, light, computer, surprise, disappointment, major, mondays, response

#633
diner, food, good, scampi, condense, friendly, staff, feel, little, eat, like, restaurant, want, menu, think, bit, make, home, couple, butterflied, place, lebanese, serve, kibbeh, meadows, try, big, widely, service, bruntsfield, way, definitely, ask, order, sure, stop, end, know, sfo, come, endearing, get, bric, brac, open, meal, folly, small, need, time, look, wait, leave, see, run, breakfast, check, family, town, away, go, decide, fry, strip, offer, chicken, love, flavor, turn, burger, bacon, taste, friend, wall, inside, forget, style, sock, green, yelp, delicious, option, old, excellent, sweet, type, inattentive, corner, experience, customer, easily, steak, cheese, melt, japanese, husband, basic, cute, authentic, crepe

#634
pip, caprese, anna, soooooo, contribute, delicious, incase, make, table, fresh, bountiful, like, perfect, order, tasty, plus, serve, great, large, little, experience, pepperoni, good, slice, involve, inside, friend, fan, plate, sausage, joint, pizza, soft, small, live, away, time, crispy, food, pretty, meal, top, come, leave, point, go, size, bake, dessert, spot, restaurant, love, sauce, home, notice, location, need, big, potato, sharing, early, room, night, cook, ingredient, menu, pepper, happy, huge, ready, absolutely, service, state, style, average, friendly, counter, garlic, thanks, tomato, yesterday, share, special, call, wait, sugar, offer, dish, beef, sicilian, kind, different, hostess, dente, wish, realize, look, gem, mall, crust

#635
tasty, food, good, nice, little, service, enjoy, squash, bit, overall, great, think, place, pretty, dinner, try, serve, butternut, long, skimpy, love, come, like, restaurant, eat, snake, worth, lot, mean, recommend, sure, see, price, table, mesquite, mushrooms, fresh, chess, invisible, menu, different, deliberately, get, order, oldie, want, look, smokiness, preservative, ludicrous, meager, veranda, experience, drink, disadvantage, amazing, sammys, misrepresent, let, foldable, ask, dribble, ranchera, oozing, paramount, meal, sonora, small, add, sauce, cheese, meat, sweet, taste, roni, high, hear, flavor, short, maybe, pov, inside, stuff, green, say, bad, perfect, salad, style, excellent, mix, way, know, plate, rice, play, turn, cut, music, taco

#636
manner, timely, opposite, luxor, import, great, come, staff, work, food, service, time, go, good, experience, way, need, busy, recommend, long, little, expect, hydrated, know, tell, wait, let, want, price, bad, quality, sure, day, away, ask, nice, job, think, stay, bring, pay, place, year, right, hard, hot, look, start, course, free, dinner, set, like, black, extra, leave, far, technician, corner, lot, definitely, try, medical, update, hear, center, pretty, walk, light, humor, comfortable, receive, buffet, sweet, table, fantastic, water, super, review, favorite, visit, meet, fix, meal, choice, absolutely, big, replace, talk, shop, order, sense, kid, get, clearly, nail, vega, people, van, say

#637
number, ranch, hospitality, great, sure, definitely, ask, dinner, come, amazing, staff, service, price, decide, right, order, try, home, customer, good, time, need, feel, quality, location, high, area, mean, family, lot, want, arrive, long, enjoy, recommend, greet, excellent, drive, fan, small, dish, awesome, like, way, salad, explanation, bad, tell, mention, future, use, say, special, people, live, ago, option, fry, welcome, atmosphere, taste, instead, think, restaurant, salon, fresh, sorry, cook, phoenix, roll, rib, chef, mussel, appetizer, large, bit, worth, knowledgeable, q, hard, disappointed, informed, main, saturday, afternoon, light, year, save, cheese, sense, baby, opt, able, wow, soon, understand, run, sauce, quick, lunch

#638
hard, literally, conversation, anytime, entertain, albeit, pretty, overall, good, silent, place, table, try, mite, drink, dancer, man, star, completely, cool, strong, atmosphere, count, sip, impossible, gin, tonic, lapse, prime, rib, excellent, little, way, disappointed, run, waiter, food, lobster, service, go, cescon, arounds, phô, nevarez, pickier, recluse, taramisu, macmedia, definataly, shet, toyama, bef, mazatlan, artiste, haydee, picka, dippa, brandie, asymmetry, ramma, teardown, coif, hamdulila, definalty, correlation, herbally, corodisone, bates, trival, schrewd, narai, eq, clobber, totter, bouse, tonopah, quartzsite, ayyam, foodborne, interrior, aand, soufflet, mumus, fatouche, setiing, whaaaaa, markes, pocketsizedelle, teaspresso, pannini, aquired, depthness, loveeeeeee, clubber, kalologie, optimize, staffers, laing, dissappered, yesteday

#639
temperature, hawaii, ugly, gosh, survive, chopped, delighted, speciality, slather, pam, tortellini, home, lacked, serve, arturo, day, place, take, good, hot, work, like, come, visit, food, staff, try, look, nice, time, amazing, love, order, eat, service, need, taste, great, recommend, high, oh, see, perfect, clean, town, wish, happen, highly, job, year, month, decide, review, hand, excellent, walk, location, arrive, favorite, turn, buy, finally, breakfast, read, bread, wow, lasagna, start, glow, hope, meal, wonderful, bring, result, evening, return, bowl, morning, gel, unfortunately, wife, ago, cozy, table, steam, manicure, ventano, presentation, music, greasy, nail, lunch, welcome, version, phoenix, kind, impressed, house, kitchen, bit

#640
year, week, ago, go, couple, time, dentist, day, jump, place, get, father, great, experience, decide, actually, take, can, think, nice, lot, service, want, like, enjoy, right, good, food, say, hour, end, definitely, far, stay, turn, old, job, happy, return, awesome, thanks, fantastic, street, patient, super, thank, wonderful, idea, eventually, parking, south, move, easy, lady, minute, especially, baseline, school, exist, husband, difficult, christmas, elizabeth, loop, size, haircut, az, option, afternoon, view, barber, shave, twice, pick, elderly, trail, prefer, mountain, half, hike, fall, despite, park, mormon, range, big, dog, yesterday, print, special, level, outdoorsy, hiking, area, trailhead, believe, adventure, nature, break, motel

#641
thursday, thousand, flamingo, pretend, rescue, restaraunt, sure, night, busy, pretty, take, long, come, people, eat, day, dinner, good, service, wait, thing, want, way, call, expect, staff, friendly, right, place, drink, go, say, get, enjoy, great, like, close, time, review, ask, order, table, food, need, server, hard, look, care, home, location, restaurant, little, give, serve, tell, new, late, return, price, meet, later, family, type, recommend, awesome, vegas, credit, perfect, size, beef, meal, appetizer, portion, choice, tip, money, starter, breakfast, cook, establishment, let, atmosphere, speak, generous, area, know, tired, today, change, dining, team, hungry, manager, crispy, woman, brown, guy, hash, correctly, young

#642
worker, organized, feedback, jacket, work, lot, know, customer, want, tell, need, give, try, service, good, go, get, way, place, jetta, great, bit, stop, like, different, let, hour, wait, feel, bring, people, small, order, location, sweet, selection, quick, leave, offer, pay, free, town, store, call, manager, dealership, wide, drive, size, helpful, food, price, guy, meal, woman, extra, car, hard, change, clothing, seat, super, immediately, desire, awesome, cool, hat, type, team, medium, complain, lady, drink, leg, normally, rack, light, oil, figure, arrive, pricey, barely, stale, variety, show, arm, quote, chip, clothes, tee, rip, lake, excuse, wash, kinda, dish, honest, course, plate, example

#643
past, spoon, compete, visit, ex, walk, amc, decent, need, different, see, look, can, bad, staff, laurent, right, way, open, overall, simone, wait, place, feel, eat, thing, day, home, restaurant, want, bavette, try, good, love, service, recommend, use, food, leave, people, order, nice, small, free, include, humiliation, perfect, hard, entire, hot, great, special, happy, highly, enjoy, reason, go, awesome, suffer, mention, wo, selection, minute, dish, house, week, choice, taste, le, sun, absolutely, st, door, time, couple, pig, chicken, danny, ambiance, screen, chez, come, monday, literally, live, large, wine, meal, know, plate, size, solution, presentation, sunday, take, comptoir, present, stomach, horrible, regular

#644
coworker, ribs, crush, sitting, lord, fraction, hana, compote, ooey, baiz, get, unrecognizable, amazing, arabic, definitely, kumquat, cas, recommend, phyllo, order, eat, yardhouse, cracklin, bound, shawarmas, menu, try, like, visit, good, place, matts, long, probably, thing, ends, come, expect, food, pappy, wait, favorite, time, winkle, feet, links, look, know, leave, worth, day, oh, way, add, go, share, sauce, delicious, hear, drink, check, chicken, cheese, table, little, see, perfect, fresh, night, great, want, price, yes, small, actually, think, review, walk, seat, spend, bring, inside, yelp, taste, area, keep, town, right, lunch, service, base, quality, meal, counter, happy, bit, steak, location, work, minute

#645
totally, tap, straight, worth, baseball, friend, get, like, recommend, fucking, walk, kenny, feel, bit, definitely, thing, cluster, wait, come, amazing, nice, start, place, good, ask, tell, pay, need, friendly, chesney, head, far, stop, selection, perfect, hot, plus, stay, turn, old, quick, offer, water, fact, man, fuck, hand, total, shoulder, beer, tip, room, field, environment, arrive, woman, dark, line, lie, arm, joint, act, massage, boooooo, gentleman, bed, concert, cold, country, option, short, greet, foot, wall, find, min, red, desk, awkward, comfortably, toe, strongly, chade, ricockulous, kindly, paul, desperately, peter, bucket, sketchy, doze, jackpot, look, day, way, point, year, service, great, run

#646
champagne, filthy, thirty, tournament, pilot, whomever, clean, bunker, conscience, actually, table, get, different, start, couple, go, bad, stallion, away, know, year, need, place, good, take, time, falcon, drink, decide, long, right, especially, work, hour, eat, look, food, way, great, night, play, game, visit, order, thing, want, check, come, recommend, server, can, finish, oh, ask, new, plus, course, ball, old, later, shot, pretty, walk, seat, customer, chipping, free, shape, probably, bar, service, understaffing, amazing, close, tell, hit, cool, star, restaurant, grass, open, rebooking, minute, fact, group, think, bottle, area, guy, sit, bartender, nice, maintain, meal, beer, location, care, town, excellent, straight

#647
cafe, entry, plug, visit, staff, place, open, lot, enjoy, friend, long, food, little, like, comprehend, thing, walk, worth, friendly, work, look, see, implore, people, digit, good, know, especially, right, tell, start, order, want, discrimination, day, get, delicious, favorite, stop, menu, come, ask, fresh, sure, time, give, meal, love, bring, table, pay, breakfast, high, restaurant, location, new, offer, service, area, spend, perfect, wait, go, kind, plan, quality, can, warm, check, couple, family, head, business, live, recommend, spot, yelp, decor, fact, star, near, morning, hand, sandwich, turkey, door, greet, immediately, hard, travel, mid, fantastic, home, coffee, guest, deliver, town, regular, mess, complaint

#648
available, mary, bloody, good, stray, great, try, lot, place, menu, go, look, dinner, friendly, service, start, food, long, need, nice, drink, delicious, people, like, serve, experience, restaurant, end, mean, amazing, have, come, leave, bar, home, large, different, breakfast, plus, think, use, choice, outside, seating, lunch, spicy, tortilla, kind, soon, let, damn, portion, sure, picture, mexican, shot, salad, watch, feel, know, get, make, al, upscale, authentic, flavorful, sorry, clean, miss, beer, heater, taco, bland, world, seriously, pastor, word, eat, hop, meet, door, la, technician, timely, man, ambiance, cold, gross, grow, care, southwest, one, wax, pineapple, message, daydream, reviewer, bubbly, qui, flour

#649
probably, lychee, hygiene, yuppie, good, corporation, picazzo, oklahoma, cig, chimney, like, big, applicator, come, place, want, lot, service, order, long, style, go, remember, daytona, take, maybe, month, know, great, eat, can, feel, bit, sauce, food, busy, stay, nice, share, try, add, decor, time, need, breakfast, serve, location, lunch, non, confines, get, love, bad, small, meat, kind, experience, business, menu, crepe, year, wo, people, free, hot, room, supermarket, vegas, recommend, drink, care, thing, look, stop, pretty, town, tasty, sweet, selection, entire, hotel, ice, double, roll, think, mean, restaurant, open, fan, end, popular, soon, old, review, size, highly, chair, delight, head, check

#650
c, butt, batch, concession, jesus, succeed, wreck, inflate, unpretentious, feather, sure, donald, way, freezing, doug, aliante, renee, need, booby, cougar, like, actually, price, expect, visit, fandango, thermos, time, wait, clean, good, know, try, pay, deed, want, love, come, small, bring, night, nice, fresh, place, little, saturday, run, buy, kind, stand, drink, star, line, enjoy, movie, super, order, server, high, brackin, bar, seriously, family, turn, ticket, miss, away, yelp, husband, okay, doubt, surprise, bag, fantastic, exactly, bathroom, hand, casino, train, bother, evening, set, app, past, owner, popcorn, particular, soda, friendly, theatre, warm, invite, upset, event, yelpers, jacket, lol, complete, pressure, na

#651
roll, satisfied, steamed, great, like, come, try, good, order, price, eat, know, bit, decent, menu, want, place, enjoy, love, think, restaurant, way, make, fresh, look, decide, bad, abound, probably, feel, taste, friend, take, tell, go, say, sauce, home, open, review, food, bring, sushi, add, flavor, spicy, large, maybe, person, oh, share, fish, finish, ingredient, point, pork, dish, selection, japanese, fact, chef, use, piece, cheese, meat, soy, instead, read, exactly, tasting, seasoned, help, seasoning, kitchen, guy, fit, buck, tempura, chinese, fair, raw, shrimp, negative, short, americanized, pride, scallion, lower, innovative, second, arrange, break, light, real, din, commonplace, difference, pizza, ruin, culture

#652
pair, accommodate, substantial, variation, keeping, shannon, informal, come, friendly, fantasic, get, decent, stride, like, good, great, price, rite, payless, service, love, bit, food, place, order, people, amazing, take, delicious, menu, quality, person, server, happy, large, tasty, expect, quick, little, special, meal, fit, area, mind, helpful, house, deal, better, satisfied, casual, shoe, decor, salad, thanks, unique, hold, thing, selection, style, choice, size, jason, mood, think, cost, item, environment, store, lunch, asian, table, shop, star, noodle, chinese, m, groupon, reasonable, fast, soup, half, reasonably, wheat, daughter, work, kinda, con, instant, pro, vietnamese, capacity, choose, em, probably, rest, course, waitress, cbnc, dining, green

#653
difference, latte, ginger, almond, nutella, mm, order, doggie, definitely, tell, give, way, great, can, expect, try, time, wait, different, open, bit, let, lot, good, come, look, menu, right, taste, get, friend, go, reliability, small, probably, fresh, service, take, stop, feel, price, eat, sauce, end, want, new, use, leave, location, quick, star, milk, warm, minute, little, home, house, visit, place, think, quality, flavor, night, usually, like, instead, water, espresso, vanilla, total, food, serve, selection, sign, tea, snack, hot, ingredient, fun, better, normal, mediocre, fried, learn, weekend, shop, ice, bite, beer, meal, medium, kid, pick, rare, bacon, grow, stay, job, peach, fantastic

#654
club, serving, good, time, go, drink, lifetime, think, night, pay, want, place, great, price, worth, come, expect, love, thing, day, look, wait, vegas, feel, try, need, enjoy, service, dinner, get, loca, serve, visit, recommend, home, food, close, friendly, mojarra, offer, family, gear, later, return, gym, past, las, kid, delicious, wife, young, actually, dining, flavor, roll, generous, choice, hand, arrive, size, eat, beef, location, country, late, meal, little, type, plate, atmosphere, work, plentiful, awsome, disappoint, pretty, server, appetizer, fair, breakfast, starter, real, authentic, thursday, hotel, adult, meet, portion, say, gastropub, overwhelm, savory, hungry, pancake, syrup, believe, fabulous, decide, flamingo, gambling, thousand

#655
yes, pepper, pickled, concoction, big, imaginable, serve, restaurant, menu, delicious, start, chaser, think, tell, order, food, customer, leave, include, service, bar, drink, homemade, mix, daily, good, place, hand, better, star, forget, strip, great, friendly, bloody, repeat, mary, choice, fantastic, review, cherry, toast, pour, lack, generous, morning, hour, yelp, prime, set, go, scrumptious, sunday, thank, wo, beer, terrible, fabulous, din, bonus, take, pretzel, convenient, rib, whip, saturday, ago, season, mall, truly, sale, door, rock, outstanding, ambiance, bun, disappoint, mozzarella, free, fixin, dream, word, forever, soup, continue, appeal, primer, curb, pressure, titos, slider, waitress, pitch, transaction, ready, subpar, artsy, party, negative, zero

#656
flower, custard, day, arrangement, jaw, order, friend, look, want, nice, lg, recommend, fumble, place, come, customer, great, vase, love, know, lot, stop, price, go, time, enjoy, service, exterminator, year, clean, lillie, get, like, say, open, good, sweet, work, job, thing, beautiful, close, pick, able, minute, review, family, set, check, oh, head, help, run, definitely, walk, experience, drop, food, rush, owner, fill, door, plus, star, lady, dinner, give, send, friendly, helpful, fry, stunning, live, soon, need, buy, shop, perfect, trouble, offer, total, pay, home, forget, assortment, sandwich, decent, think, reservation, thanks, wow, super, town, extra, basically, decide, yelp, people, yes, lol

#657
seafood, tonight, originally, octopus, statement, delicious, england, get, good, fresh, eat, experience, place, see, visit, finally, bit, favorite, order, cerviche, stop, pretty, know, new, menu, offer, service, area, return, mix, month, choice, live, forget, shrimp, hop, road, obviously, establishment, sparse, fine, tasty, range, early, recent, dining, regularly, guacamole, piece, atmosphere, arizona, help, memorable, believe, box, tuck, din, street, group, black, pudding, ready, comfort, necessary, post, establish, diner, city, salmon, distance, welcome, howie, central, ahem, tick, contradiction, pint, chat, appealing, edinburgh, contented, partridge, memorableness, institution, hole, striking, prandial, victoria, suitable, attractive, detail, watering, stornaway, brother, bottle, crappy, danny, amazing, wow, scotch

#658
wonton, chinatown, gallery, organization, chaotic, gabriel, accidental, suckered, sucked, restaurant, like, different, place, long, good, bad, time, clean, think, order, especially, worth, start, eat, know, make, want, need, food, review, seat, let, take, look, large, run, right, close, strip, work, table, get, go, people, mean, new, late, come, great, short, lot, love, care, drive, add, feel, hey, quality, service, night, thing, turn, head, valley, happen, swear, receive, cost, arrive, business, timely, manner, art, scottsdale, reasonable, day, staff, appreciate, vary, vegas, talk, tell, fun, station, yeah, california, snow, outside, say, bland, price, kind, trip, area, chow, judge, san, mexican, sunday, high

#659
stars, maker, yelper, generously, amanda, crumbly, danish, met, yummo, favorite, look, good, pretty, little, thing, add, especially, wish, enjoy, order, sure, service, place, free, sweet, time, hot, get, price, turn, new, star, menu, great, stovetop, definitely, meal, food, staff, point, coffee, beef, offer, today, vegas, tip, try, instead, suppose, dish, breakfast, guy, unfortunately, unusual, white, love, corn, sticky, size, morning, wo, decent, salad, week, steam, yum, chicken, rice, fry, blustery, milk, delicious, tender, suggest, check, chocolate, phoenix, forward, location, fried, yummy, convince, halfway, arizona, disappoint, offering, portion, care, hopefully, hop, lunch, leave, better, basic, replace, potato, mocha, pancake, bean, slightly

#660
opportunity, smoking, familiar, commercial, yuck, visible, personnel, priceline, quartier, chaud, prostitute, bouillon, actually, clean, visit, look, chinois, serveuses, walk, assiettes, know, try, big, stop, place, let, way, hear, year, give, coeur, open, restaurant, vacancy, like, definitely, staff, check, time, thing, room, conviviale, leave, drink, oh, feel, come, can, recommend, family, star, get, strip, need, night, food, stay, arrive, good, door, pas, take, money, allow, japonaise, man, light, outside, go, yes, great, chicken, site, vegas, center, ton, lose, service, en, sauce, believe, resort, help, delicious, drinking, clear, disgusting, order, lucky, wrong, toujours, love, option, worth, et, shop, gem, fresh, easily, ground

#661
